cs_size,cs_type,cs_rent,cs_dist
90,4,4200,0
110,4,3000,0
65,4,2200,0
90,4,2800,0
160,4,4200,0
72,4,2300,0
73,4,2880,0
92,4,1800,0
125,5,3200,0
88,3,2800,0
142,6,4500,0
95,1,5000,0
75,3,2200,0
138,5,2500,0
68,2,1600,0
132,4,3500,0
90,5,2400,0
68,3,1450,0
68,3,1450,0
92,5,3600,0
89,4,1200,0
120,5,2000,0
73,4,2880,0
160,4,4200,0
77,4,2200,0
92,4,1800,0
145,5,6000,0
140,5,3300,0
125,5,3200,0
88,3,2800,0
142,6,4500,0
95,1,5000,0
75,3,2200,0
138,5,2500,0
68,2,1600,0
90,5,2400,0
132,4,3500,0
68,3,1450,0
68,3,1450,0
92,5,3600,0
123,5,4500,0
85,3,3500,1
53,2,2400,1
53,2,2600,1
50,2,2500,1
90,5,2600,1
90,4,2000,1
145,6,6500,1
131,6,3600,1
76,3,2400,1
200,5,3000,1
96,5,2500,1
127,5,2700,1
45,1,1650,1
88,3,3000,1
106,4,4000,1
136,6,6500,1
77,3,2500,1
50,2,2250,1
50,2,2500,1
50,2,2400,1
130,5,3000,1
199,5,7500,1
90,4,2600,1
123,5,2800,1
92,4,2800,1
260,5,7500,1
133,5,3600,1
89,4,2800,1
90,3,3500,1
131,5,3200,1
202,6,5000,1
140,5,3280,1
169,6,5500,1
89,3,2300,1
187,5,4000,1
90,5,2700,1
93,3,3500,1
53,2,2500,1
130,5,3300,1
95,5,2800,2
120,5,3300,2
82,5,2000,2
90,4,2400,2
54,3,2300,2
145,6,3200,2
92,3,2000,2
65,2,1900,2
55,2,1500,2
53,3,2200,2
155,8,5000,2
143,4,2600,2
86,4,2600,2
88,4,3200,2
60,2,1600,2
138,5,2500,2
137,5,2500,2
86,4,2600,2
143,4,2600,2
136,5,3700,2
97,5,2200,2
138,5,2500,2
55,2,1500,2
88,4,3200,2
131,5,3000,2
120,5,3000,2
90,3,2300,2
35,1,1450,2
145,5,3500,2
75,4,3500,2
252,6,15000,2
50,2,2250,2
50,2,1750,2
145,6,3500,2
109,5,3000,2
160,5,3200,2
54,2,1700,3
153,6,1800,3
130,5,3000,3
89,5,3000,3
107,5,2500,3
135,5,1900,3
96,5,2200,3
125,5,3000,3
135,6,2700,3
129,5,3000,3
118,5,2900,3
123,5,3200,3
96,5,2600,3
105,4,4000,3
45,2,1400,3
89,4,3000,3
48,1,2500,3
47,1,2000,3
50,3,2000,3
87,3,2200,3
100,4,2100,3
100,5,2600,3
130,5,2800,3
120,5,3200,3
131,4,3500,3
39,1,1800,3
151,6,2500,3
70,4,2400,3
140,5,2200,3
94,5,3500,3
107,5,2500,3
