"90平米  ","2室2厅  ","4200","furong"
"110平米  ","3室1厅  ","3000","furong"
"65平米  ","2室2厅  ","2200","furong"
"90平米  ","2室2厅  ","2800","furong"
"160平米  ","3室1厅  ","4200","furong"
"72平米  ","2室2厅  ","2300","furong"
"73平米  ","2室2厅  ","2880","furong"
"92平米  ","2室2厅  ","1800","furong"
"125平米  ","3室2厅  ","3200","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"68平米  ","1室1厅  ","1600","furong"
"132平米  ","3室1厅  ","3500","furong"
"90平米  ","3室2厅  ","2400","furong"
"68平米  ","2室1厅  ","1450","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"89平米  ","3室1厅  ","1200","furong"
"120平米  ","3室2厅  ","2000","furong"
"73平米  ","2室2厅  ","2880","furong"
"160平米  ","3室1厅  ","4200","furong"
"77平米  ","3室1厅  ","2200","furong"
"92平米  ","2室2厅  ","1800","furong"
"145平米  ","4室1厅  ","6000","furong"
"140平米  ","3室2厅  ","3300","furong"
"125平米  ","3室2厅  ","3200","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"68平米  ","1室1厅  ","1600","furong"
"90平米  ","3室2厅  ","2400","furong"
"132平米  ","3室1厅  ","3500","furong"
"68平米  ","2室1厅  ","1450","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"123平米  ","3室2厅  ","4500","furong"
"85平米  ","2室1厅  ","3500","kaifu"
"53平米  ","1室1厅  ","2400","kaifu"
"53平米  ","1室1厅  ","2600","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"90平米  ","3室2厅  ","2600","kaifu"
"90平米  ","2室2厅  ","2000","kaifu"
"145平米  ","4室2厅  ","6500","kaifu"
"131平米  ","4室2厅  ","3600","kaifu"
"76平米  ","2室1厅  ","2400","kaifu"
"200平米  ","4室1厅  ","3000","kaifu"
"96平米  ","3室2厅  ","2500","kaifu"
"127平米  ","3室2厅  ","2700","kaifu"
"45平米  ","1室0厅  ","1650","kaifu"
"88平米  ","2室1厅  ","3000","kaifu"
